0<= x < 30; y_0 = 50.0 + 0.6x; interpolation 
7770<= x < 7800; y_259 = -464.0 + 0.06666666666666667x; interpolation 
7800<= x < 7830; y_260 = -4104.0 + 0.5333333333333333x; interpolation 
7830<= x < 7860; y_261 = 3987.0 + -0.5x; interpolation 
7860<= x < 7890; y_262 = -4397.0 + 0.5666666666666667x; interpolation 
7890<= x < 7920; y_263 = 74.0 + 0.0x; interpolation 
7920<= x < 7950; y_264 = 866.0 + -0.1x; interpolation 
7950<= x < 7980; y_265 = 71.0 + 0.0x; interpolation 
7980<= x < 8010; y_266 = 4327.0 + -0.5333333333333333x; interpolation 
8010<= x < 8040; y_267 = -3950.0 + 0.5x; interpolation 
8040<= x < 8070; y_268 = 4626.0 + -0.5666666666666667x; interpolation 
8070<= x < 8100; y_269 = -5058.0 + 0.6333333333333333x; interpolation 
8100<= x < 8130; y_270 = 4122.0 + -0.5x; interpolation 
8130<= x < 8160; y_271 = -485.0 + 0.06666666666666667x; interpolation 
8160<= x < 8190; y_272 = 1147.0 + -0.13333333333333333x; interpolation 
8190<= x < 8220; y_273 = -5132.0 + 0.6333333333333333x; interpolation 
8220<= x < 8250; y_274 = 622.0 + -0.06666666666666667x; interpolation 
8250<= x < 8280; y_275 = 3922.0 + -0.4666666666666667x; interpolation 
8280<= x < 8310; y_276 = -4082.0 + 0.5x; interpolation 
8310<= x < 8340; y_277 = 4505.0 + -0.5333333333333333x; interpolation 
8340<= x < 8370; y_278 = -4391.0 + 0.5333333333333333x; interpolation 
8370<= x < 8400; y_279 = 910.0 + -0.1x; interpolation 
8400<= x < 8430; y_280 = 4270.0 + -0.5x; interpolation 
8430<= x < 8460; y_281 = -5003.0 + 0.6x; interpolation 
8460<= x < 8490; y_282 = 2611.0 + -0.3x; interpolation 
8490<= x < 8520; y_283 = 3743.0 + -0.43333333333333335x; interpolation 
8520<= x < 8550; y_284 = -1369.0 + 0.16666666666666666x; interpolation 
8550<= x < 8580; y_285 = -4219.0 + 0.5x; interpolation 
8580<= x < 8610; y_286 = 4647.0 + -0.5333333333333333x; interpolation 
8610<= x < 8640; y_287 = -4824.0 + 0.5666666666666667x; interpolation 
8640<= x < 8670; y_288 = 3816.0 + -0.43333333333333335x; interpolation 
8670<= x < 8700; y_289 = -3987.0 + 0.4666666666666667x; interpolation 
8700<= x < 8730; y_290 = 6743.0 + -0.7666666666666667x; interpolation 
8730<= x < 8760; y_291 = -6061.0 + 0.7x; interpolation 
8760<= x < 8790; y_292 = 4743.0 + -0.5333333333333333x; interpolation 
8790<= x < 8820; y_293 = -824.0 + 0.1x; interpolation 
8820<= x < 8850; y_294 = -3175.9999999999995 + 0.36666666666666664x; interpolation 
8850<= x < 8880; y_295 = -1111.0 + 0.13333333333333333x; interpolation 
8880<= x < 8910; y_296 = -223.0 + 0.03333333333333333x; interpolation 
8910<= x < 8940; y_297 = 1262.0 + -0.13333333333333333x; interpolation 
8940<= x < 8970; y_298 = -1122.0 + 0.13333333333333333x; interpolation 
8970<= x < 9000; y_299 = 5456.0 + -0.6x; interpolation 
9000<= x < 9030; y_300 = 1256.0 + -0.13333333333333333x; interpolation 
9030<= x < 9060; y_301 = -5667.0 + 0.6333333333333333x; interpolation 
9060<= x < 9090; y_302 = 3997.0 + -0.43333333333333335x; interpolation 
9090<= x < 9120; y_303 = -4184.0 + 0.4666666666666667x; interpolation 
9120<= x < 9150; y_304 = 3720.0 + -0.4x; interpolation 
9150<= x < 9180; y_305 = 2195.0 + -0.23333333333333334x; interpolation 
